date,category,title,amount
2024-06-08,Saúde,Uber,131.22147887824275
2024-06-08,Transporte,Aluguel,57.973943448807255
2024-06-08,Transporte,Aluguel,60.38802928687022
2024-06-09,Saúde,Aluguel,168.03022332534104
2024-06-09,Casa,Aluguel,198.2458406301646
2024-06-09,Saúde,Restaurante X,109.4322529416244
2024-06-09,Saúde,Consulta médica,46.396735071890845
2024-06-09,Saúde,Restaurante X,53.95552978570873
2024-06-09,Saúde,Restaurante X,171.3833222308192
2024-06-10,Casa,Uber,76.47301270035133
2024-06-10,Transporte,Ônibus,149.67292109150708
2024-06-10,Lazer,Uber,193.7416500123467
2024-06-10,Lazer,Consulta médica,165.038312954802
2024-06-10,Transporte,Aluguel,121.88823170325367
2024-06-11,Casa,Cinema,102.24997403915643
2024-06-11,Casa,Aluguel,158.8846054759779
2024-06-11,Transporte,Restaurante X,197.09704258871474
2024-06-11,Alimentação,Aluguel,59.788074525106595
2024-06-11,Alimentação,Restaurante X,91.03258711448166
2024-06-11,Casa,Aluguel,108.51790126082689
2024-06-12,Lazer,Uber,137.9854972005798
2024-06-12,Saúde,Uber,104.9997254957861
2024-06-12,Transporte,Restaurante X,87.46854776773756
2024-06-12,Alimentação,Cinema,39.60364242981678
2024-06-12,Alimentação,Aluguel,78.19972035284712
2024-06-13,Casa,Ônibus,100.5208660557181
2024-06-13,Lazer,Uber,60.84360924010543
2024-06-13,Casa,Consulta médica,133.06920468483372
2024-06-13,Lazer,Uber,8.924914053276755
2024-06-13,Transporte,Restaurante X,124.96912155995572
2024-06-13,Alimentação,Uber,129.14734158049058
2024-06-14,Transporte,Cinema,168.1733637150602
2024-06-14,Lazer,Restaurante X,116.9667250203154
2024-06-14,Transporte,Cinema,33.15968491257553
2024-06-14,Transporte,Cinema,53.73471384741809
2024-06-14,Lazer,Cinema,101.97526508634881
2024-06-15,Saúde,Uber,53.151244490094
2024-06-15,Alimentação,Cinema,176.5367648802129
2024-06-15,Lazer,Ônibus,76.41495792920077
2024-06-15,Transporte,Consulta médica,82.8506959461283
2024-06-15,Lazer,Aluguel,45.10770236140631
2024-06-15,Casa,Cinema,10.152086556973881
2024-06-16,Lazer,Ônibus,177.4690430556329
2024-06-16,Transporte,Restaurante X,162.77427468036768
2024-06-16,Casa,Ônibus,87.26589550817252
2024-06-16,Saúde,Aluguel,129.437096711352
2024-06-16,Alimentação,Uber,177.91362456237798
2024-06-17,Lazer,Uber,74.7348808677831
2024-06-17,Alimentação,Uber,169.38185601195767
2024-06-17,Lazer,Restaurante X,45.491385166846534
2024-06-17,Lazer,Restaurante X,151.87490013919046
2024-06-17,Casa,Aluguel,80.77735130161628
2024-06-17,Transporte,Uber,140.06591034149145
2024-06-18,Casa,Consulta médica,38.60421531317671
2024-06-18,Lazer,Restaurante X,193.23289928411904
2024-06-18,Transporte,Cinema,184.33810862767817
2024-06-18,Casa,Aluguel,182.3531459436083
2024-06-18,Alimentação,Restaurante X,111.45499683555231
2024-06-19,Saúde,Restaurante X,192.3874544410462
2024-06-19,Saúde,Ônibus,190.05368742669833
2024-06-19,Lazer,Ônibus,57.08743017534427
2024-06-19,Transporte,Cinema,6.797140306566058
2024-06-19,Transporte,Cinema,79.61906031667178
2024-06-19,Saúde,Uber,168.04293237370317
2024-06-20,Transporte,Consulta médica,19.411378733901405
2024-06-20,Lazer,Ônibus,122.00078673666502
2024-06-20,Lazer,Aluguel,161.45319489673636
2024-06-20,Casa,Cinema,124.4799021789845
2024-06-20,Saúde,Cinema,166.89878280661267
2024-06-21,Transporte,Consulta médica,133.42525175651494
2024-06-21,Casa,Restaurante X,154.77933543340154
2024-06-21,Lazer,Consulta médica,99.78212379730442
2024-06-21,Saúde,Consulta médica,75.36841415456043
2024-06-21,Saúde,Restaurante X,44.28489104223473
2024-06-21,Casa,Consulta médica,36.892484558002636
2024-06-22,Saúde,Uber,109.0725442348762
2024-06-22,Alimentação,Cinema,180.48255670481979
2024-06-22,Saúde,Consulta médica,124.167397970501
2024-06-22,Casa,Restaurante X,158.2022247576161
2024-06-22,Saúde,Consulta médica,96.13863476305866
2024-06-23,Transporte,Ônibus,51.05333502595848
2024-06-23,Alimentação,Ônibus,69.69727682035813
2024-06-23,Saúde,Cinema,166.35569161221625
2024-06-23,Casa,Cinema,61.508561886586754
2024-06-23,Casa,Aluguel,155.23153521836505
2024-06-23,Saúde,Aluguel,190.3353732598709
2024-06-24,Transporte,Consulta médica,132.64950846571003
2024-06-24,Transporte,Consulta médica,154.00663342577985
2024-06-24,Casa,Uber,90.27436827567224
2024-06-24,Transporte,Ônibus,171.71651890858024
2024-06-24,Alimentação,Uber,66.58693266821228
2024-06-25,Lazer,Cinema,104.26213810169035
2024-06-25,Lazer,Uber,26.366293513316325
2024-06-25,Lazer,Uber,163.34750237775967
2024-06-25,Alimentação,Uber,145.05483805608804
2024-06-25,Casa,Ônibus,185.5189132900079
2024-06-25,Saúde,Cinema,106.18340407543904
2024-06-26,Lazer,Cinema,70.20975246428934
2024-06-26,Saúde,Consulta médica,68.92606838069725
2024-06-26,Transporte,Uber,97.52658490408305
2024-06-26,Alimentação,Aluguel,159.99461215467568
2024-06-26,Lazer,Uber,5.160393113869769
2024-06-27,Saúde,Aluguel,9.948628138294236
2024-06-27,Saúde,Cinema,156.8339757027508
2024-06-27,Casa,Uber,150.4377348308088
2024-06-27,Transporte,Ônibus,83.71237134167639
2024-06-27,Casa,Restaurante X,139.2500875937698
2024-06-27,Casa,Cinema,116.95090271705219
2024-06-28,Transporte,Restaurante X,176.6249007371925
2024-06-28,Casa,Consulta médica,160.05263025702573
2024-06-28,Alimentação,Consulta médica,31.336772800834318
2024-06-28,Lazer,Cinema,84.80164372141341
2024-06-28,Lazer,Uber,102.52305360535264
2024-06-29,Alimentação,Aluguel,125.35855168136216
2024-06-29,Casa,Ônibus,20.823619864706163
2024-06-29,Saúde,Restaurante X,151.25565609745067
2024-06-29,Transporte,Ônibus,128.7646502854505
2024-06-29,Alimentação,Cinema,40.99008945725739
2024-06-29,Lazer,Cinema,111.06524165672178
2024-06-30,Transporte,Ônibus,10.828425268808555
2024-06-30,Lazer,Uber,145.27636570071655
2024-06-30,Casa,Aluguel,117.98784393513937
2024-06-30,Transporte,Uber,185.0730135392581
2024-06-30,Casa,Uber,199.13560991557304
2024-07-01,Transporte,Consulta médica,171.71469847473873
2024-07-01,Saúde,Restaurante X,142.95568869999852
2024-07-01,Transporte,Uber,88.39190550121118
2024-07-01,Alimentação,Cinema,146.06250578348852
2024-07-01,Saúde,Ônibus,67.9759106333758
2024-07-02,Casa,Aluguel,32.53659037550278
2024-07-02,Lazer,Aluguel,92.43996417276605
2024-07-02,Casa,Ônibus,105.79694376136662
2024-07-02,Lazer,Uber,171.74100155769858
2024-07-02,Casa,Ônibus,167.01352657773202
2024-07-02,Casa,Aluguel,131.4148842502301
2024-07-03,Alimentação,Restaurante X,74.39280558863977
2024-07-03,Lazer,Cinema,116.88798480834538
2024-07-03,Lazer,Consulta médica,15.436917422903031
2024-07-03,Saúde,Uber,197.36489008410723
2024-07-03,Lazer,Uber,71.29772196258816
2024-07-04,Lazer,Consulta médica,66.52079241485413
2024-07-04,Transporte,Restaurante X,89.12844726516343
2024-07-04,Saúde,Cinema,182.7882573983
2024-07-04,Casa,Restaurante X,65.58576059242563
2024-07-04,Casa,Cinema,85.62612895786758
2024-07-04,Alimentação,Cinema,162.59332600484663
2024-07-05,Alimentação,Uber,7.218903603187365
2024-07-05,Saúde,Cinema,33.6320261635244
2024-07-05,Alimentação,Consulta médica,82.92257207522893
2024-07-05,Alimentação,Restaurante X,105.88590303879204
2024-07-05,Alimentação,Uber,90.54607732128551
2024-07-06,Alimentação,Consulta médica,164.60096762688394
2024-07-06,Alimentação,Consulta médica,16.206649592665922
2024-07-06,Saúde,Consulta médica,175.13797071783497
2024-07-06,Saúde,Restaurante X,105.92177939672186
2024-07-06,Transporte,Cinema,96.02333612380244
2024-07-06,Saúde,Uber,147.74068236994304
2024-07-07,Transporte,Ônibus,97.10081010496424
2024-07-07,Saúde,Consulta médica,113.91796327968403
2024-07-07,Lazer,Aluguel,123.43133632934993
2024-07-07,Alimentação,Restaurante X,15.940188321414764
2024-07-07,Casa,Cinema,188.11180729583938
2024-07-08,Lazer,Ônibus,134.7705378343202
2024-07-08,Casa,Cinema,70.86668303901308
2024-07-08,Transporte,Uber,143.20556809960178
2024-07-08,Casa,Cinema,118.29542954172736
2024-07-08,Alimentação,Consulta médica,163.08888691009406
2024-07-08,Alimentação,Restaurante X,196.51321126355558
2024-07-09,Alimentação,Ônibus,96.03669677052166
2024-07-09,Alimentação,Restaurante X,66.43858742086928
2024-07-09,Lazer,Aluguel,58.91223261910734
2024-07-09,Lazer,Aluguel,90.3084082711251
2024-07-09,Casa,Aluguel,33.23153036292935
2024-07-10,Alimentação,Uber,162.81005109795638
2024-07-10,Saúde,Restaurante X,189.70167031113098
2024-07-10,Transporte,Aluguel,79.64633356720435
2024-07-10,Saúde,Uber,121.71237451656508
2024-07-10,Lazer,Uber,122.83003966557322
2024-07-10,Transporte,Consulta médica,104.71602444569122
2024-07-11,Transporte,Consulta médica,43.41242411084124
2024-07-11,Transporte,Aluguel,46.34744920016296
2024-07-11,Casa,Ônibus,31.206585583503802
2024-07-11,Casa,Cinema,167.9892075197294
2024-07-11,Casa,Uber,56.344008413037514
2024-07-12,Alimentação,Cinema,143.101897707504
2024-07-12,Casa,Uber,174.95613731067317
2024-07-12,Saúde,Cinema,89.47936630732556
2024-07-12,Casa,Aluguel,169.96692904343675
2024-07-12,Casa,Consulta médica,121.9675764004615
2024-07-12,Lazer,Consulta médica,10.316656471802522
2024-07-13,Transporte,Uber,81.64103043354525
2024-07-13,Saúde,Restaurante X,80.18521214141832
2024-07-13,Saúde,Aluguel,92.16083510543163
2024-07-13,Transporte,Restaurante X,107.49073421943014
2024-07-13,Lazer,Aluguel,86.77956300286836
2024-07-14,Casa,Cinema,109.00872601593971
2024-07-14,Casa,Ônibus,106.74847767514339
2024-07-14,Alimentação,Aluguel,56.2448347285663
2024-07-14,Lazer,Ônibus,81.7565789400192
2024-07-14,Lazer,Aluguel,28.874702641574494
2024-07-14,Saúde,Aluguel,21.334162512425785
2024-07-15,Transporte,Ônibus,164.39594581489334
2024-07-15,Casa,Ônibus,139.96152856266167
2024-07-15,Saúde,Ônibus,59.35182729585758
2024-07-15,Casa,Consulta médica,13.994737003694455
2024-07-15,Saúde,Restaurante X,61.98863275152767
2024-07-16,Transporte,Cinema,152.33775531539442
2024-07-16,Alimentação,Ônibus,91.59489485799617
2024-07-16,Lazer,Uber,167.66208948006374
2024-07-16,Casa,Ônibus,115.60961975009455
2024-07-16,Lazer,Cinema,90.64877504713215
2024-07-16,Lazer,Consulta médica,145.55820206435408
2024-07-17,Alimentação,Cinema,112.04912857985462
2024-07-17,Saúde,Restaurante X,166.79005946654917
2024-07-17,Saúde,Consulta médica,135.05021964540418
2024-07-17,Lazer,Restaurante X,131.86356306005177
2024-07-17,Saúde,Uber,14.943133276037836
2024-07-18,Transporte,Consulta médica,51.620022493696105
2024-07-18,Lazer,Consulta médica,97.5536724539177
2024-07-18,Saúde,Cinema,68.4492604233523
2024-07-18,Saúde,Consulta médica,31.425130357362146
2024-07-18,Transporte,Restaurante X,40.93903261972462
2024-07-18,Alimentação,Uber,147.6413910267524
2024-07-19,Saúde,Uber,166.81155912200714
2024-07-19,Alimentação,Consulta médica,154.75226199998687
2024-07-19,Lazer,Aluguel,129.49166434022146
2024-07-19,Saúde,Restaurante X,142.52354608395186
2024-07-19,Alimentação,Restaurante X,173.54035683094014
2024-07-20,Lazer,Ônibus,41.50130877450176
2024-07-20,Alimentação,Restaurante X,26.049087791717223
2024-07-20,Alimentação,Cinema,119.26519109402766
2024-07-20,Casa,Ônibus,155.23451629084786
2024-07-20,Saúde,Consulta médica,15.202898870500354
2024-07-20,Transporte,Restaurante X,139.84186843636556
2024-07-21,Casa,Cinema,166.27154721012053
2024-07-21,Saúde,Ônibus,28.406529952162334
2024-07-21,Saúde,Restaurante X,151.6774122969055
2024-07-21,Transporte,Aluguel,41.74092095878569
2024-07-21,Casa,Aluguel,146.5000716336792
2024-07-22,Transporte,Consulta médica,56.50144119042225
2024-07-22,Transporte,Consulta médica,57.46481235153972
2024-07-22,Lazer,Consulta médica,170.5997699198273
2024-07-22,Lazer,Restaurante X,198.66181054364532
2024-07-22,Saúde,Consulta médica,154.39416648565515
2024-07-22,Saúde,Restaurante X,99.81519348453676
2024-07-23,Saúde,Ônibus,75.21808815571869
2024-07-23,Casa,Uber,45.82861200742083
2024-07-23,Lazer,Consulta médica,92.2956824472962
2024-07-23,Lazer,Ônibus,129.1151460412691
2024-07-23,Alimentação,Ônibus,24.85092775343577
2024-07-24,Saúde,Cinema,10.178583637815487
2024-07-24,Casa,Restaurante X,120.39977789451986
2024-07-24,Transporte,Ônibus,72.37926484792142
2024-07-24,Lazer,Ônibus,112.38209570104443
2024-07-24,Saúde,Consulta médica,157.87651193502768
2024-07-24,Transporte,Cinema,61.75294396670206
2024-07-25,Casa,Uber,23.824840553652262
2024-07-25,Transporte,Consulta médica,122.54225312118697
2024-07-25,Lazer,Uber,41.67015632163915
2024-07-25,Saúde,Cinema,60.79848614116684
2024-07-25,Saúde,Aluguel,56.86222348272719
2024-07-26,Saúde,Restaurante X,178.70807566787732
2024-07-26,Alimentação,Ônibus,8.192770876473427
2024-07-26,Alimentação,Restaurante X,163.2753839613121
2024-07-26,Lazer,Consulta médica,25.057779114152478
2024-07-26,Casa,Cinema,87.74896688270428
2024-07-26,Alimentação,Ônibus,73.8117814182946
2024-07-27,Alimentação,Cinema,30.891446726048773
2024-07-27,Lazer,Consulta médica,115.74242339880091
2024-07-27,Transporte,Uber,24.480312740984058
2024-07-27,Saúde,Consulta médica,140.97582124493334
2024-07-27,Lazer,Uber,130.593127851115
2024-07-28,Lazer,Restaurante X,54.003264169909684
2024-07-28,Alimentação,Cinema,189.18872421022039
2024-07-28,Transporte,Restaurante X,35.1918433630876
2024-07-28,Casa,Ônibus,38.84740981724004
2024-07-28,Transporte,Restaurante X,8.284776565828372
2024-07-28,Saúde,Uber,29.69049912323337
2024-07-29,Lazer,Ônibus,121.51491024579413
2024-07-29,Lazer,Ônibus,98.9097044394079
2024-07-29,Alimentação,Uber,45.51317252306743
2024-07-29,Lazer,Restaurante X,195.03235026412563
2024-07-29,Lazer,Uber,87.14359468937369
2024-07-30,Alimentação,Ônibus,102.85412078978177
2024-07-30,Saúde,Consulta médica,169.46601578810404
2024-07-30,Transporte,Aluguel,50.53800693321233
2024-07-30,Transporte,Restaurante X,188.33558478642496
2024-07-30,Casa,Restaurante X,167.16586851765382
2024-07-31,Transporte,Consulta médica,118.2291368615816
